x y
1.477648963078969473e+02 9.012265172792051544e+02
1.524728968425185371e+02 8.998330139124539073e+02
1.571296276042054387e+02 8.983123533866365733e+02
1.617355944445415616e+02 8.966865693332854335e+02
1.662593193471604991e+02 8.948831891087327222e+02
1.707938583862593305e+02 8.931655495322457909e+02
1.754275187498957393e+02 8.917022125988755761e+02
1.798402926290695518e+02 8.897016434604836377e+02
1.841281610167402505e+02 8.874335327604128452e+02
1.885124442902566670e+02 8.853554796287189674e+02
1.929068679441608651e+02 8.832669471452982179e+02
1.972325292030971582e+02 8.810251108405177547e+02
2.013278389615523452e+02 8.783836585009969440e+02
2.053633189570038553e+02 8.756532931300375822e+02
2.093712065669206481e+02 8.728788529269152150e+02
2.133347220924734415e+02 8.700284717222375548e+02
2.172596356241744502e+02 8.671093885282189149e+02
2.211741704040922514e+02 8.641582747365232535e+02
2.250578207530055010e+02 8.611458495743022468e+02
2.289247417634791759e+02 8.580906080903328075e+02
2.328184274466198644e+02 8.550465403778057407e+02
2.366962197047629388e+02 8.519598732619315342e+02
2.405626010275219926e+02 8.488377972627765757e+02
2.444220866258453668e+02 8.456875550441192217e+02
2.482786120993147563e+02 8.425156470905167225e+02
2.521380045637912986e+02 8.393309731140501526e+02
2.560045002262683056e+02 8.361399195842068366e+02
2.598549626510392727e+02 8.329235564821477737e+02
2.637079216776819521e+02 8.297127204007649652e+02
2.675639156082417003e+02 8.265086426500761263e+02
2.714239220968541417e+02 8.233121885828556969e+02
2.752862316413505255e+02 8.201212542643753522e+02
2.791510916446134161e+02 8.169360087210542360e+02
2.830187367571408572e+02 8.137566365232464705e+02
2.868874903298509480e+02 8.105810040211499654e+02
2.907582292785581330e+02 8.074100631752644404e+02
2.946292800865727486e+02 8.042416822845666502e+02
2.985008794930936347e+02 8.010760431095824288e+02
3.023732614023354017e+02 7.979133287051901107e+02
3.062447596930416012e+02 7.947514042147793134e+02
3.101162419815632916e+02 7.915912279286430930e+02
3.139860447646104262e+02 7.884306616743151608e+02
